row	2000	4000	6000	8000	10000	12000	14000
177	0.5280898876404494	0.550561797752809	0.5280898876404494	0.5617977528089888	0.48314606741573035	0.46629213483146065	0.4943820224719101
178	0.5307262569832403	0.547486033519553	0.5307262569832403	0.5642458100558659	0.48044692737430167	0.4692737430167598	0.4972067039106145
179	0.5277777777777778	0.5444444444444444	0.5333333333333333	0.5666666666666667	0.4777777777777778	0.4722222222222222	0.5
180	0.5303867403314917	0.5469613259668509	0.5303867403314917	0.569060773480663	0.47513812154696133	0.47513812154696133	0.4972375690607735
181	0.532967032967033	0.5494505494505495	0.5274725274725275	0.5714285714285714	0.47802197802197804	0.47802197802197804	0.5
182	0.5355191256830601	0.546448087431694	0.5300546448087432	0.5683060109289617	0.4808743169398907	0.4808743169398907	0.5027322404371585
183	0.532608695652174	0.5489130434782609	0.5271739130434783	0.5706521739130435	0.483695652173913	0.4782608695652174	0.5054347826086957
184	0.5351351351351351	0.5513513513513514	0.5297297297297298	0.572972972972973	0.4810810810810811	0.4810810810810811	0.5027027027027027
185	0.5376344086021505	0.553763440860215	0.5268817204301075	0.5752688172043011	0.478494623655914	0.478494623655914	0.5053763440860215
186	0.5347593582887701	0.5561497326203209	0.5294117647058824	0.5775401069518716	0.47593582887700536	0.48128342245989303	0.5026737967914439
187	0.5372340425531915	0.5531914893617021	0.526595744680851	0.5797872340425532	0.4734042553191489	0.4787234042553192	0.5
188	0.5396825396825397	0.5555555555555556	0.5291005291005291	0.582010582010582	0.4708994708994709	0.48148148148148145	0.4973544973544973
189	0.5368421052631579	0.5526315789473685	0.531578947368421	0.5842105263157895	0.47368421052631576	0.4789473684210526	0.5
190	0.5340314136125655	0.5497382198952879	0.5340314136125655	0.5863874345549738	0.4712041884816754	0.4816753926701571	0.5026178010471204
191	0.5364583333333334	0.546875	0.5364583333333334	0.5833333333333334	0.4739583333333333	0.4791666666666667	0.5052083333333334
192	0.533678756476684	0.5492227979274611	0.533678756476684	0.5803108808290155	0.47668393782383417	0.48186528497409326	0.5077720207253886
193	0.5360824742268041	0.5463917525773195	0.5360824742268041	0.5824742268041238	0.4793814432989691	0.4845360824742268	0.5103092783505154
194	0.5333333333333333	0.5435897435897435	0.5333333333333333	0.5846153846153846	0.47692307692307695	0.48717948717948717	0.5076923076923077
195	0.5306122448979592	0.5459183673469388	0.5357142857142857	0.5867346938775511	0.47959183673469385	0.4897959183673469	0.5051020408163265
196	0.5279187817258884	0.5482233502538071	0.5380710659898477	0.5888324873096447	0.48223350253807107	0.4873096446700508	0.5076142131979695
197	0.5303030303030303	0.5505050505050505	0.5404040404040404	0.5909090909090909	0.48484848484848486	0.48484848484848486	0.51010101010101
198	0.5326633165829145	0.5527638190954773	0.542713567839196	0.592964824120603	0.48743718592964824	0.4824120603015075	0.507537688442211
